cve,epss,date
CVE-2025-41243,0.00063,2025-10-01
CVE-2025-42944,0.00037,2025-10-01
CVE-2025-55051,0.00054,2025-10-01
CVE-2025-55113,0.00043,2025-10-01
CVE-2025-55729,0.0037,2025-10-01
CVE-2025-55730,0.0037,2025-10-01
CVE-2025-58321,0.00454,2025-10-01
CVE-2025-58384,0.0039,2025-10-01
CVE-2025-59528,0.00489,2025-10-01
CVE-2025-60219,0.00043,2025-10-01
CVE-2025-41243,0.00063,2025-10-04
CVE-2025-42944,0.00037,2025-10-04
CVE-2025-55051,0.00054,2025-10-04
CVE-2025-55113,0.00043,2025-10-04
CVE-2025-55729,0.0037,2025-10-04
CVE-2025-55730,0.0037,2025-10-04
CVE-2025-58321,0.00454,2025-10-04
CVE-2025-58384,0.00513,2025-10-04
CVE-2025-59528,0.00489,2025-10-04
CVE-2025-60219,0.00056,2025-10-04
CVE-2025-41243,0.00063,2025-10-07
CVE-2025-42944,0.00037,2025-10-07
CVE-2025-55051,0.00054,2025-10-07
CVE-2025-55113,0.00043,2025-10-07
CVE-2025-55729,0.0037,2025-10-07
CVE-2025-55730,0.0037,2025-10-07
CVE-2025-58321,0.00359,2025-10-07
CVE-2025-58384,0.00513,2025-10-07
CVE-2025-59528,0.00489,2025-10-07
CVE-2025-60219,0.00056,2025-10-07
CVE-2025-41243,0.00063,2025-10-10
CVE-2025-42944,0.00037,2025-10-10
CVE-2025-55051,0.00054,2025-10-10
CVE-2025-55113,0.00043,2025-10-10
CVE-2025-55729,0.0037,2025-10-10
CVE-2025-55730,0.0037,2025-10-10
CVE-2025-58321,0.00359,2025-10-10
CVE-2025-58384,0.00513,2025-10-10
CVE-2025-59528,0.00489,2025-10-10
CVE-2025-60219,0.00056,2025-10-10
CVE-2025-41243,0.00063,2025-10-13
CVE-2025-42944,0.00046,2025-10-13
CVE-2025-55051,0.00059,2025-10-13
CVE-2025-55113,0.00049,2025-10-13
CVE-2025-55729,0.00403,2025-10-13
CVE-2025-55730,0.00403,2025-10-13
CVE-2025-58321,0.00391,2025-10-13
CVE-2025-58384,0.00513,2025-10-13
CVE-2025-59528,0.00489,2025-10-13
CVE-2025-60219,0.00056,2025-10-13
CVE-2025-41243,0.00063,2025-10-16
CVE-2025-42944,0.00047,2025-10-16
CVE-2025-55051,0.00059,2025-10-16
CVE-2025-55113,0.00049,2025-10-16
CVE-2025-55729,0.00403,2025-10-16
CVE-2025-55730,0.00403,2025-10-16
CVE-2025-58321,0.00391,2025-10-16
CVE-2025-58384,0.00513,2025-10-16
CVE-2025-59528,0.00489,2025-10-16
CVE-2025-60219,0.00056,2025-10-16
CVE-2025-41243,0.00068,2025-10-19
CVE-2025-42944,0.00047,2025-10-19
CVE-2025-55051,0.00059,2025-10-19
CVE-2025-55113,0.00053,2025-10-19
CVE-2025-55729,0.00403,2025-10-19
CVE-2025-55730,0.00403,2025-10-19
CVE-2025-58321,0.00391,2025-10-19
CVE-2025-58384,0.00513,2025-10-19
CVE-2025-59528,0.00489,2025-10-19
CVE-2025-60219,0.00056,2025-10-19
CVE-2025-41243,0.00068,2025-10-22
CVE-2025-42944,0.00047,2025-10-22
CVE-2025-55051,0.00059,2025-10-22
CVE-2025-55113,0.00053,2025-10-22
CVE-2025-55729,0.00403,2025-10-22
CVE-2025-55730,0.00403,2025-10-22
CVE-2025-58321,0.00391,2025-10-22
CVE-2025-58384,0.00513,2025-10-22
CVE-2025-59528,0.00489,2025-10-22
CVE-2025-60219,0.00056,2025-10-22
CVE-2025-41243,0.00068,2025-10-25
CVE-2025-42944,0.00047,2025-10-25
CVE-2025-55051,0.00059,2025-10-25
CVE-2025-55113,0.00053,2025-10-25
CVE-2025-55729,0.00403,2025-10-25
CVE-2025-55730,0.00403,2025-10-25
CVE-2025-58321,0.00391,2025-10-25
CVE-2025-58384,0.00513,2025-10-25
CVE-2025-59528,0.00533,2025-10-25
CVE-2025-60219,0.00056,2025-10-25
CVE-2025-41243,0.00068,2025-10-28
CVE-2025-42944,0.00047,2025-10-28
CVE-2025-55051,0.00059,2025-10-28
CVE-2025-55113,0.00053,2025-10-28
CVE-2025-55729,0.00403,2025-10-28
CVE-2025-55730,0.00403,2025-10-28
CVE-2025-58321,0.00391,2025-10-28
CVE-2025-58384,0.00553,2025-10-28
CVE-2025-59528,0.00533,2025-10-28
CVE-2025-60219,0.00061,2025-10-28
CVE-2025-41243,0.10243,2025-10-31
CVE-2025-42944,0.00047,2025-10-31
CVE-2025-55051,0.00059,2025-10-31
CVE-2025-55113,0.00053,2025-10-31
CVE-2025-55729,0.00403,2025-10-31
CVE-2025-55730,0.00403,2025-10-31
CVE-2025-58321,0.00391,2025-10-31
CVE-2025-58384,0.00553,2025-10-31
CVE-2025-59528,0.00533,2025-10-31
CVE-2025-60219,0.00061,2025-10-31
CVE-2025-41243,0.10243,2025-11-03
CVE-2025-42944,0.00047,2025-11-03
CVE-2025-55051,0.00059,2025-11-03
CVE-2025-55113,0.00053,2025-11-03
CVE-2025-55729,0.00403,2025-11-03
CVE-2025-55730,0.00403,2025-11-03
CVE-2025-58321,0.00528,2025-11-03
CVE-2025-58384,0.00553,2025-11-03
CVE-2025-59528,0.03025,2025-11-03
CVE-2025-60219,0.00061,2025-11-03
CVE-2025-41243,0.10243,2025-11-06
CVE-2025-42944,0.0002,2025-11-06
CVE-2025-55051,0.00059,2025-11-06
CVE-2025-55113,0.00053,2025-11-06
CVE-2025-55729,0.00403,2025-11-06
CVE-2025-55730,0.00403,2025-11-06
CVE-2025-58321,0.00528,2025-11-06
CVE-2025-58384,0.00553,2025-11-06
CVE-2025-59528,0.03025,2025-11-06
CVE-2025-60219,0.00061,2025-11-06
CVE-2025-41243,0.10243,2025-11-09
CVE-2025-42944,0.0002,2025-11-09
CVE-2025-55051,0.00059,2025-11-09
CVE-2025-55113,0.00053,2025-11-09
CVE-2025-55729,0.00403,2025-11-09
CVE-2025-55730,0.00403,2025-11-09
CVE-2025-58321,0.00528,2025-11-09
CVE-2025-58384,0.00553,2025-11-09
CVE-2025-59528,0.03025,2025-11-09
CVE-2025-60219,0.00061,2025-11-09
CVE-2025-41243,0.10243,2025-11-12
CVE-2025-42944,0.0002,2025-11-12
CVE-2025-55051,0.00059,2025-11-12
CVE-2025-55113,0.00053,2025-11-12
CVE-2025-55729,0.00403,2025-11-12
CVE-2025-55730,0.00403,2025-11-12
CVE-2025-58321,0.00528,2025-11-12
CVE-2025-58384,0.00553,2025-11-12
CVE-2025-59528,0.03025,2025-11-12
CVE-2025-60219,0.00061,2025-11-12
CVE-2025-41243,0.07811,2025-11-15
CVE-2025-42944,0.00019,2025-11-15
CVE-2025-55051,0.00059,2025-11-15
CVE-2025-55113,0.00053,2025-11-15
CVE-2025-55729,0.00403,2025-11-15
CVE-2025-55730,0.00403,2025-11-15
CVE-2025-58321,0.00528,2025-11-15
CVE-2025-58384,0.00553,2025-11-15
CVE-2025-59528,0.03025,2025-11-15
CVE-2025-60219,0.00061,2025-11-15
CVE-2025-41243,0.07014,2025-11-18
CVE-2025-42944,0.0002,2025-11-18
CVE-2025-55051,0.00062,2025-11-18
CVE-2025-55113,0.00053,2025-11-18
CVE-2025-55729,0.00421,2025-11-18
CVE-2025-55730,0.00421,2025-11-18
CVE-2025-58321,0.00698,2025-11-18
CVE-2025-58384,0.00553,2025-11-18
CVE-2025-59528,0.07243,2025-11-18
CVE-2025-60219,0.00061,2025-11-18
CVE-2025-41243,0.07811,2025-11-21
CVE-2025-42944,0.0002,2025-11-21
CVE-2025-55051,0.00062,2025-11-21
CVE-2025-55113,0.00053,2025-11-21
CVE-2025-55729,0.00421,2025-11-21
CVE-2025-55730,0.00421,2025-11-21
CVE-2025-58321,0.00698,2025-11-21
CVE-2025-58384,0.00553,2025-11-21
CVE-2025-59528,0.0332,2025-11-21
CVE-2025-60219,0.00061,2025-11-21
CVE-2025-41243,0.08124,2025-11-24
CVE-2025-42944,0.0002,2025-11-24
CVE-2025-55051,0.00062,2025-11-24
CVE-2025-55113,0.00055,2025-11-24
CVE-2025-55729,0.00421,2025-11-24
CVE-2025-55730,0.00421,2025-11-24
CVE-2025-58321,0.00698,2025-11-24
CVE-2025-58384,0.00553,2025-11-24
CVE-2025-59528,0.78435,2025-11-24
CVE-2025-60219,0.00061,2025-11-24
CVE-2025-41243,0.08124,2025-11-27
CVE-2025-42944,0.0002,2025-11-27
CVE-2025-55051,0.00062,2025-11-27
CVE-2025-55113,0.00055,2025-11-27
CVE-2025-55729,0.00421,2025-11-27
CVE-2025-55730,0.00421,2025-11-27
CVE-2025-58321,0.00698,2025-11-27
CVE-2025-58384,0.00553,2025-11-27
CVE-2025-59528,0.78435,2025-11-27
CVE-2025-60219,0.00061,2025-11-27
CVE-2025-41243,0.08124,2025-11-30
CVE-2025-42944,0.0002,2025-11-30
CVE-2025-55051,0.00062,2025-11-30
CVE-2025-55113,0.00055,2025-11-30
CVE-2025-55729,0.00421,2025-11-30
CVE-2025-55730,0.00421,2025-11-30
CVE-2025-58321,0.00698,2025-11-30
CVE-2025-58384,0.00553,2025-11-30
CVE-2025-59528,0.78904,2025-11-30
CVE-2025-60219,0.00061,2025-11-30
CVE-2025-41243,0.08124,2025-12-03
CVE-2025-42944,0.00063,2025-12-03
CVE-2025-55051,0.00062,2025-12-03
CVE-2025-55113,0.00055,2025-12-03
CVE-2025-55729,0.00421,2025-12-03
CVE-2025-55730,0.00421,2025-12-03
CVE-2025-58321,0.00698,2025-12-03
CVE-2025-58384,0.00578,2025-12-03
CVE-2025-59528,0.78904,2025-12-03
CVE-2025-60219,0.00064,2025-12-03
CVE-2025-41243,0.08124,2025-12-06
CVE-2025-42944,0.0002,2025-12-06
CVE-2025-55051,0.00062,2025-12-06
CVE-2025-55113,0.00055,2025-12-06
CVE-2025-55729,0.00421,2025-12-06
CVE-2025-55730,0.00421,2025-12-06
CVE-2025-58321,0.00698,2025-12-06
CVE-2025-58384,0.00578,2025-12-06
CVE-2025-59528,0.78904,2025-12-06
CVE-2025-60219,0.00064,2025-12-06
CVE-2025-41243,0.07004,2025-12-09
CVE-2025-42944,0.0002,2025-12-09
CVE-2025-55051,0.00062,2025-12-09
CVE-2025-55113,0.00055,2025-12-09
CVE-2025-55729,0.00421,2025-12-09
CVE-2025-55730,0.00421,2025-12-09
CVE-2025-58321,0.00698,2025-12-09
CVE-2025-58384,0.00578,2025-12-09
CVE-2025-59528,0.78904,2025-12-09
CVE-2025-60219,0.00064,2025-12-09
CVE-2025-41243,0.07004,2025-12-12
CVE-2025-42944,0.0002,2025-12-12
CVE-2025-55051,0.00062,2025-12-12
CVE-2025-55113,0.00055,2025-12-12
CVE-2025-55729,0.00421,2025-12-12
CVE-2025-55730,0.00421,2025-12-12
CVE-2025-58321,0.00698,2025-12-12
CVE-2025-58384,0.00578,2025-12-12
CVE-2025-59528,0.78904,2025-12-12
CVE-2025-60219,0.00064,2025-12-12
CVE-2025-41243,0.07004,2025-12-15
CVE-2025-42944,0.0002,2025-12-15
CVE-2025-55051,0.00062,2025-12-15
CVE-2025-55113,0.00055,2025-12-15
CVE-2025-55729,0.00421,2025-12-15
CVE-2025-55730,0.00421,2025-12-15
CVE-2025-58321,0.00698,2025-12-15
CVE-2025-58384,0.00578,2025-12-15
CVE-2025-59528,0.78904,2025-12-15
CVE-2025-60219,0.00064,2025-12-15
CVE-2025-41243,0.08124,2025-12-18
CVE-2025-42944,0.0002,2025-12-18
CVE-2025-55051,0.00062,2025-12-18
CVE-2025-55113,0.00055,2025-12-18
CVE-2025-55729,0.00421,2025-12-18
CVE-2025-55730,0.00421,2025-12-18
CVE-2025-58321,0.00698,2025-12-18
CVE-2025-58384,0.00578,2025-12-18
CVE-2025-59528,0.81489,2025-12-18
CVE-2025-60219,0.00064,2025-12-18
CVE-2025-41243,0.07004,2025-12-21
CVE-2025-42944,0.0002,2025-12-21
CVE-2025-55051,0.00062,2025-12-21
CVE-2025-55113,0.00055,2025-12-21
CVE-2025-55729,0.00421,2025-12-21
CVE-2025-55730,0.00421,2025-12-21
CVE-2025-58321,0.00698,2025-12-21
CVE-2025-58384,0.00578,2025-12-21
CVE-2025-59528,0.81489,2025-12-21
CVE-2025-60219,0.00064,2025-12-21
CVE-2025-41243,0.07004,2025-12-24
CVE-2025-42944,0.0002,2025-12-24
CVE-2025-55051,0.00062,2025-12-24
CVE-2025-55113,0.00055,2025-12-24
CVE-2025-55729,0.00421,2025-12-24
CVE-2025-55730,0.00421,2025-12-24
CVE-2025-58321,0.00698,2025-12-24
CVE-2025-58384,0.00578,2025-12-24
CVE-2025-59528,0.81489,2025-12-24
CVE-2025-60219,0.00064,2025-12-24
CVE-2025-41243,0.07004,2025-12-27
CVE-2025-42944,0.0002,2025-12-27
CVE-2025-55051,0.00062,2025-12-27
CVE-2025-55113,0.00055,2025-12-27
CVE-2025-55729,0.00421,2025-12-27
CVE-2025-55730,0.00421,2025-12-27
CVE-2025-58321,0.00698,2025-12-27
CVE-2025-58384,0.00578,2025-12-27
CVE-2025-59528,0.83159,2025-12-27
CVE-2025-60219,0.00064,2025-12-27
CVE-2025-41243,0.07004,2025-12-30
CVE-2025-42944,0.0002,2025-12-30
CVE-2025-55051,0.00062,2025-12-30
CVE-2025-55113,0.00055,2025-12-30
CVE-2025-55729,0.00421,2025-12-30
CVE-2025-55730,0.00421,2025-12-30
CVE-2025-58321,0.00698,2025-12-30
CVE-2025-58384,0.00578,2025-12-30
CVE-2025-59528,0.83159,2025-12-30
CVE-2025-60219,0.00064,2025-12-30
CVE-2025-41243,0.07004,2026-01-02
CVE-2025-42944,0.00063,2026-01-02
CVE-2025-55051,0.00062,2026-01-02
CVE-2025-55113,0.00055,2026-01-02
CVE-2025-55729,0.00421,2026-01-02
CVE-2025-55730,0.00421,2026-01-02
CVE-2025-58321,0.00698,2026-01-02
CVE-2025-58384,0.00578,2026-01-02
CVE-2025-59528,0.83159,2026-01-02
CVE-2025-60219,0.00064,2026-01-02
CVE-2025-41243,0.07004,2026-01-05
CVE-2025-42944,0.0002,2026-01-05
CVE-2025-55051,0.00062,2026-01-05
CVE-2025-55113,0.00055,2026-01-05
CVE-2025-55729,0.00421,2026-01-05
CVE-2025-55730,0.00421,2026-01-05
CVE-2025-58321,0.00698,2026-01-05
CVE-2025-58384,0.00578,2026-01-05
CVE-2025-59528,0.83159,2026-01-05
CVE-2025-60219,0.00064,2026-01-05
